[2020.03.07-22.25.39:324][  0]Log file open, 03/07/20 16:25:39
[2020.03.07-22.25.39:324][  0]LogMemory: Platform Memory Stats for WindowsServer
[2020.03.07-22.25.39:324][  0]LogMemory: Process Physical Memory: 59.59 MB used, 59.59 MB peak
[2020.03.07-22.25.39:324][  0]LogMemory: Process Virtual Memory: 49.84 MB used, 49.97 MB peak
[2020.03.07-22.25.39:324][  0]LogMemory: Physical Memory: 57043.67 MB used, 65436.48 MB total
[2020.03.07-22.25.39:324][  0]LogMemory: Virtual Memory: 4396.86 MB used, 134217728.00 MB total
[2020.03.07-22.25.39:728][  0]ARK Version: 306.5
[2020.03.07-22.25.39:728][  0]PID: 2132
[2020.03.07-22.26.31:229][  0]Primal Game Data Took 49.02 seconds
[2020.03.07-22.27.35:782][  0]Server: "ironark" has successfully started!
[2020.03.07-22.27.46:210][  0]Commandline: "TheIsland?RCONEnabled=True?RCONPort=27054?SessionName=ironark?MaxPlayers=30?Port=27053?QueryPort=27053?NonPermanentDiseases=true?AllowRaidDinoFeeding=true?PreventDiseases=false?AutoDestroyOldStructuresMultiplier=1?ShowFloatingDamageText=true?AllowAnyoneBabyImprintCuddle=true?OverrideStructurePlatformPrevention=true?TribeLogDestroyedEnemyStructures=true?PvEAllowStructuresAtSupplyDrops=true?OverrideOfficialDifficulty=4?PreventOfflinePvPInterval=900?ServerPassword=9967?ServerAdminPassword=ironarkAdmin0?listen -ForceAllowCaveFlyers  -NoBattlEye  -clusterid= 
[2020.03.07-22.27.46:210][  0]Full Startup: 128.78 seconds (BP compile: 0.00 seconds)
[2020.03.07-22.27.46:210][  0]Number of cores 6
[2020.03.07-22.27.46:654][  4]AllActors Call During Gameplay: World Time 2524651.8, Class DinoStorage2CCA_C
[2020.03.07-22.28.16:220][877]AllActors Call During Gameplay: World Time 2524681.5, Class CompostBin_C
[2020.03.07-22.39.06:042][335]AllActors Call During Gameplay: World Time 2525331.3, Class DinoStorage2CCA_C
[2020.03.07-22.39.26:225][940]AllActors Call During Gameplay: World Time 2525351.5, Class DinoStorage2CCA_C
[2020.03.07-22.39.29:591][ 41]AllActors Call During Gameplay: World Time 2525354.8, Class DinoStorage2CCA_C
[2020.03.07-22.39.36:801][257]AllActors Call During Gameplay: World Time 2525362.0, Class DinoStorage2CCA_C
[2020.03.07-22.39.58:133][893]AllActors Call During Gameplay: World Time 2525383.5, Class DinoStorage2CCA_C
[2020.03.07-22.46.14:489][ 85]AllActors Call During Gameplay: World Time 2525759.3, Class DinoStorage2CCA_C
[2020.03.07-22.46.25:963][429]AllActors Call During Gameplay: World Time 2525770.8, Class DinoStorage2CCA_C
[2020.03.07-22.48.33:589][247]AllActors Call During Gameplay: World Time 2525898.3, Class Rings_BP_C
[2020.03.07-22.52.59:554][187]AllActors Call During Gameplay: World Time 2526164.3, Class DinoStorage2CCA_C
[2020.03.07-22.55.03:580][897]AllActors Call During Gameplay: World Time 2526288.3, Class DinoStorage2CCA_C
[2020.03.07-23.05.35:754][787]AllActors Call During Gameplay: World Time 2526920.0, Class DinoStorage2CCA_C
[2020.03.08-00.25.26:576][455]AllActors Call During Gameplay: World Time 2531707.8, Class DinoStorage2CCA_C
[2020.03.08-00.25.41:528][903]AllActors Call During Gameplay: World Time 2531722.8, Class DinoStorage2CCA_C
[2020.03.08-00.31.07:619][631]AllActors Call During Gameplay: World Time 2532048.3, Class StarGates_BP_C
[2020.03.08-00.31.10:939][730]AllActors Call During Gameplay: World Time 2532051.8, Class StarGates_BP_C
[2020.03.08-00.31.13:754][814]AllActors Call During Gameplay: World Time 2532054.5, Class StarGates_BP_C
[2020.03.08-00.35.19:902][179]AllActors Call During Gameplay: World Time 2532300.8, Class DinoStorage2CCA_C
[2020.03.08-00.37.11:188][509]AllActors Call During Gameplay: World Time 2532412.0, Class StarGates_BP_C
[2020.03.08-00.37.14:706][614]AllActors Call During Gameplay: World Time 2532415.5, Class StarGates_BP_C
[2020.03.08-00.37.17:975][712]AllActors Call During Gameplay: World Time 2532418.8, Class StarGates_BP_C
[2020.03.08-00.37.23:082][865]AllActors Call During Gameplay: World Time 2532423.8, Class StarGates_BP_C
[2020.03.08-00.37.25:806][942]AllActors Call During Gameplay: World Time 2532426.5, Class StarGates_BP_C
[2020.03.08-00.39.54:821][405]AllActors Call During Gameplay: World Time 2532575.5, Class DinoStorage2CCA_C
[2020.03.08-00.42.19:398][628]AllActors Call During Gameplay: World Time 2532718.0, Class StarGates_BP_C
[2020.03.08-00.42.22:900][733]AllActors Call During Gameplay: World Time 2532721.5, Class StarGates_BP_C
[2020.03.08-00.42.26:720][847]AllActors Call During Gameplay: World Time 2532725.5, Class StarGates_BP_C
[2020.03.08-00.42.48:440][498]AllActors Call During Gameplay: World Time 2532747.3, Class DinoStorage2CCA_C
[2020.03.08-00.44.11:091][959]AllActors Call During Gameplay: World Time 2532829.8, Class DinoStorage2CCA_C
[2020.03.08-00.44.18:463][180]AllActors Call During Gameplay: World Time 2532837.0, Class DinoStorage2CCA_C
[2020.03.08-00.46.51:811][761]AllActors Call During Gameplay: World Time 2532990.5, Class DinoStorage2CCA_C
[2020.03.08-00.46.55:178][862]AllActors Call During Gameplay: World Time 2532993.8, Class DinoStorage2CCA_C
[2020.03.08-00.48.02:507][877]AllActors Call During Gameplay: World Time 2533061.0, Class DinoStorage2CCA_C
